,context,question,answer,source_doc
10,"Proposals for Change: The NFIP has four major goals: to decrease the risk of flood losses; reduce the costs and consequences of flooding; reduce the demand for federal assistance; and preserve and restore beneficial floodplain functions. In a final report published in 2006 by the American Institutes for Research (AIR), which conducted an evaluation of the federal flood insurance program, AIR said that although much had been accomplished, the program fell short of meeting its goals in part because the NFIP did not have the ability to guide development away from floodplains and cannot restore beneficial floodplain functions once they have been impaired. In addition, AIR said, many people still are not covered or not adequately covered for flood damage. AIR also noted that the NFIP was hampered in reaching its goals by insufficient Congressional funding, lack of pertinent data, misperceptions about the nature of the program and the breakdown in coordination among its three major sectors.","According to the 2006 AIR report, what were the main reasons why the NFIP fell short of its goals?","The NFIP's inability to guide development away from floodplains, failure to restore impaired floodplain functions, inadequate coverage for many people, insufficient Congressional funding, lack of data, misperceptions about the program, and poor coordination among its sectors.",Insurance_Handbook_20103
11,"Auto Insurance Initiatives: Motor vehicles account for more than 25 percent of all U.S. greenhouse gas emissions. Insurance policies such as pay-as-youdrive, which factors mileage driven into the price of insurance, and hybrid car discounts could reduce that amount by more than 10 percent if broadly implemented, according to Ceres, a network of companies concerned about global warming. A study by the Brookings Institution suggests that if drivers paid by the mile, driving would drop by about 8 percent.","What impact could insurance policies like pay-as-you-drive and hybrid car discounts have on greenhouse gas emissions from motor vehicles in the US, according to Ceres and the Brookings Institution?","According to Ceres, broad implementation of such policies could reduce emissions by more than 10 percent.  The Brookings Institution suggests that a pay-by-the-mile system could decrease driving by about 8 percent.",Insurance_Handbook_20103
12,Insurers must preserve the fine line between investigating suspicious claims and harassing legitimate claimants and the need to comply with the time requirements for paying claims imposed by fair claim practice regulations. All states have unfair claim settlement practice laws on their books to ensure that the parties involved are informed of the progress of investigations and that investigators settle the claim promptly or within a specified amount of time. About 19 states have provisions that provide guidance and protection for investigators by allowing time limit extensions or waivers and detailing what evidence is required and to whom the evidence should be made available.,"What is the challenge faced by insurers regarding claim investigations, and what legal measures are in place to address this?","Insurers must balance investigating suspicious claims without harassing legitimate claimants, while adhering to timely claim settlement laws.  State laws ensure transparency and prompt claim settlement, with some states offering investigators protection through time extensions or waivers and defining evidence requirements.",Insurance_Handbook_20103
13,"·  Homeowners Policy Endorsement: Homeowners may be able to add a simple endorsement or rider to their existing homeowners policy to increase coverage.
·  In-Home Business Policy: An in-home business policy provides more comprehensive coverage for business equipment and liability than a homeowners policy endorsement. Many insurance companies offer insurance policies specifically tailored to small business.
·  Businessowners Policy (BOP): The home business might be eligible for The Businessowners Policy (BOP), see above. The key to whether a business owner is eligible for a BOP is the size of the premises, the limits of liability required, the type of commercial operation it is and the extent of its off-premises servicing and processing activities. A BOP, like an in-home business policy, covers business property and equipment, loss of income, extra expense and liability; however, the BOP provides these coverages on a much broader scale.","What are the three main types of insurance policies mentioned that can cover a home-based business, and what are their key differences?","The three main types are Homeowners Policy Endorsement (limited coverage, added to existing policy), In-Home Business Policy (more comprehensive than endorsement), and Businessowners Policy (BOP) (broadest coverage, eligibility depends on business size and activities).",Insurance_Handbook_20103
14,"Arbitration: To keep small disputes out of the courts, insurers are increasingly turning to arbitration. The nation's largest arbitration provider, nonprofit Arbitration Forums, resolved more than 520,000 inter-insurance disputes in 2009 valued at $2.5 billion, for a savings in litigation costs of $700 million. Disputes leading to arbitration typically arise when insurance or self-insured companies believe their policyholders or employees are not at fault or due to disagreement over the percentage of liability or the amount of damages. More than 85 percent of these disputes involve auto collisions.","How many inter-insurance disputes did Arbitration Forums resolve in 2009, and what was the estimated savings in litigation costs?","Arbitration Forums resolved more than 520,000 disputes in 2009, resulting in $700 million in savings on litigation costs.",Insurance_Handbook_20103
15,"The Insurance Cycle: The property/casualty insurance industry has exhibited cyclical behavior for many years, as far back as the 1920s. These cycles are characterized by periods of rising rates leading to increased profitability. Following a period of solid but not spectacular rates of return, the industry enters a down phase where prices soften, supply of insurance becomes plentiful and, eventually, profitability diminishes or vanishes completely. In the cycle's down phase, as results deteriorate, the basic ability of insurance companies to underwrite new business or, for some companies even to renew some existing policies, can be impaired because the capital needed to support the underwriting of risk has been depleted through losses. Cycles vary in their severity.","What are the characteristics of the property/casualty insurance industry's cyclical behavior, and what happens during the down phase?","The cycles are characterized by rising rates and increased profitability, followed by a down phase with softening prices, plentiful supply, and diminished profitability.  In the down phase, underwriting ability can be impaired due to depleted capital from losses.",Insurance_Handbook_20103
16,"A form of insurance that covers a policyholder's belongings against perils such as fire, theft, windstorm, hail, explosion, vandalism, riots, and others. It also provides personal liability coverage for damage the policyholder or dependents cause to third parties. It also provides additional living expenses, known as loss-of-use coverage, if a policyholder must move while his or her dwelling is repaired. It also can include coverage for property improvements. Possessions can be covered for their replacement cost or for their actual cash value, which includes depreciation.","What perils are typically covered by homeowner's insurance, and what additional types of coverage might it offer?","Homeowner's insurance typically covers perils such as fire, theft, windstorm, hail, explosion, vandalism, and riots.  Additional coverage may include personal liability for damage to third parties, loss-of-use coverage for additional living expenses, and coverage for property improvements.  Possessions can be covered for replacement cost or actual cash value.",Insurance_Handbook_20103
17,"Products designed for and bought by businesses. Among the major coverages are boiler and machinery, business income, commercial auto, comprehensive general liability, directors and officers liability, fire and allied lines, inland marine, medical malpractice liability, product liability, professional liability, surety and fidelity, and workers compensation. Most of these commercial coverages can be purchased separately except business income, which must be added to a fire insurance (property) policy. ( See Commercial multiple peril policy)","What types of insurance coverages are commonly included in commercial insurance policies, and which coverage cannot be purchased separately?","Major commercial coverages include boiler and machinery, business income, commercial auto, general liability, and more. Business income must be added to a fire insurance policy.",Insurance_Handbook_20103
18,"Other limited replacement income is available for workers under some circumstances from workers compensation (if the injury or illness is job-related), auto insurance (if disability results from an auto accident) and the Department of Veterans Affairs. For most workers, even those with some employer-paid coverage, an individual disability income policy is the best way to ensure adequate income in the event of disability. Workers who buy a private disability income policy can expect to replace from 50 percent to 70 percent of income. Disability benefits paid out on individual disability policies are not taxed; benefits from employer-paid policies are subject to income tax.","What are some alternative sources of replacement income for disabled workers, and what is the typical income replacement percentage offered by private disability income policies?","Alternative sources include workers' compensation, auto insurance, and the Department of Veterans Affairs. Private disability income policies typically replace 50-70% of income, and benefits are not taxed.",Insurance_Handbook_20103
19,"Flood damage is excluded under standard homeowners and renters insurance policies. Flood coverage, however, is available in the form of a separate policy both from the National Flood Insurance Program (NFIP) and from a few private insurers. Additional information on flood insurance can be found on the FloodSmart.gov Web site or by calling 888-379-9531. For coverage over and above the $250,000 limit for property and $100,000 for contents provided by the NFIP, excess flood insurance is available from private insurance companies. (See Topic on Flood Insurance on page 47 for further information.)","What is the coverage limit for property and contents under the NFIP, and where can additional flood insurance be obtained?","The NFIP provides up to $250,000 for property and $100,000 for contents.  Excess flood insurance is available from private insurers.",Insurance_Handbook_20103
20,"·  Variable Life: Variable life policies combine death protection with a savings account that can be invested in stocks, bonds and money market mutual funds. The value of the policy may grow more quickly, but involves more risk. If investments do not perform well, the cash value and death benefit may decrease. Some policies, however, guarantee that the death benefit will not fall below a minimum level.
·  Variable Universal Life: This type of policy combines the features of variable and universal life policies, including the investment risks and rewards characteristic of variable life insurance and the ability to adjust premiums and the death benefit that is characteristic of universal life insurance.",What are the key differences between variable life and variable universal life insurance policies?,"Variable life combines death protection with investments in stocks, bonds, etc., with potential for higher growth but also risk of decreased cash value and death benefit. Variable universal life adds the flexibility to adjust premiums and death benefits.",Insurance_Handbook_20103
21,"The insurance business is based on the spread of risk. The more widely risk is spread, the more accurately loss can be estimated. An insurance company can more accurately estimate the probability of loss on 100,000 homes than on ten. Years ago, insurers were required to use standardized forms and rates developed by rating agencies. Today, large insurers use their own statistical loss data to develop rates. But small insurers, or insurers focusing on special lines of business, with insufficiently broad loss data to make them actuarially reliable depend on pooled industry data collected by such organizations as ISO, which provides information to help develop rates such as estimates of future losses and loss adjustment expenses like legal defense costs.","How do insurance companies estimate losses, and why is data pooling important for smaller insurers?","Larger insurers use their own statistical loss data. Smaller insurers rely on pooled industry data from organizations like ISO for actuarially reliable rate development, including estimates of future losses and loss adjustment expenses.",Insurance_Handbook_20103
22,"In a similar study, the FTC found that auto insurers' use of insurance credit scores leads to more accurate underwriting of auto insurance policies in that there is a correlation between insurance scores and the likelihood of filing an insurance claim. The FTC report, Credit-Based Insurance Scores: Impacts on Consumers of Automobile Insurance, released in July 2007, also states that credit scores cannot easily be used as a proxy for race and ethnic origin. In other words, credit scoring predicted risk for members of minority groups in much the same way that it predicted risk for members of nonminority groups.","What did the FTC find regarding the use of insurance credit scores in auto insurance underwriting, and what did their 2007 report conclude about the use of credit scores as a proxy for race and ethnicity?","The FTC found that using insurance credit scores leads to more accurate underwriting because of a correlation between scores and claim likelihood.  Their 2007 report stated credit scores are not easily used as a proxy for race and ethnicity, predicting risk similarly across minority and non-minority groups.",Insurance_Handbook_20103
23,"Insurance scores are confidential rankings based on credit information. This includes whether the consumer has made timely payments on loans, the number of open credit card accounts and whether a bankruptcy filing has been made. An insurance score is a measure of how well consumers manage their financial affairs, not of their financial assets. It does not include information about income or race. Studies have shown that people who manage their money well tend also to manage their most important asset, their home, well. And people who manage their money respon-","What factors contribute to an insurance score, and what kind of information is excluded?","Factors include timely loan payments, number of open credit accounts, and bankruptcy filings.  Income and race are excluded.",Insurance_Handbook_20103
24,"The field has gradually evolved to the point where some investors and insurance company issuers are beginning to feel comfortable with the concept, with some coming back to the capital markets each year. In addition to the high interest rates catastrophe bonds pay, their attraction to investors is that they diversify investment portfolio risk, thus reducing the volatility of returns. The returns on most other securities are tied to economic activity rather than natural disasters. Catastrophe bonds have evolved into a multibillion dollar industry. Though pioneered by reinsurers, primary insurers now frequently sponsor new issues.",Why are catastrophe bonds attractive to investors despite the risks involved?,"Catastrophe bonds offer high interest rates and diversify investment portfolio risk, reducing volatility of returns unlike other securities tied to economic activity.",Insurance_Handbook_20103
25,"A growing number of insurers are tapping into markets in developing countries through microinsurance projects, which provide low-cost insurance to individuals generally not covered by traditional insurance or government programs. Microinsurance products tend to be much less costly than traditional products and thus extend protection to a much wider market. The approach is an outgrowth of the microfinancing projects developed by Bangladeshi Nobel Prizewinning banker and economist Muhammad Yunus, which helped millions of low-income individuals in Asia and Africa to set up businesses and buy houses. American International Group Inc. (AIG) was one of the first companies to offer microinsurance and began selling policies in Uganda in 1997. Swiss Re, Munich Re, Allianz and Zurich Financial Services have also entered the microinsurance arena. Disasters such as the 2005 tsunami in Indonesia and the 2010 Haiti earthquake have demonstrated the need for insurance in many regions, prompting insurers to develop new products. While the coverage is often geared to protection from natural disasters, there are also programs covering life/health risks as well.","What triggered the growth of microinsurance in developing countries, and which major insurance companies are involved?","The growth of microinsurance is driven by the need to cover low-income individuals not served by traditional methods, spurred by events like the 2005 tsunami and 2010 Haiti earthquake.  Major players include AIG, Swiss Re, Munich Re, Allianz, and Zurich Financial Services.",Insurance_Handbook_20103
26,"The reinsurance business is evolving. Traditionally, reinsurance transactions were between two insurance entities: the primary insurer that sold the original insurance policies and the reinsurer. Most still are. Primary insurers and reinsurers can share both the premiums and losses or reinsurers may assume the primary company's losses above a certain dollar limit in return for a fee. However, risks of various kinds, particularly of natural disasters, are now being sold by insurers and reinsurers to institutional investors in the form of catastrophe bonds and other alternative risk-spreading mechanisms. Increasingly, new products reflect a gradual blending of reinsurance and investment banking.","How is the reinsurance business evolving, and what new mechanisms are being used to spread risk?","The reinsurance business is evolving from traditional insurer-reinsurer transactions to include institutional investors through catastrophe bonds and other alternative risk-spreading mechanisms, blending reinsurance and investment banking.",Insurance_Handbook_20103
27,"Fortunately, insurance companies run their businesses conservatively, as if every day might bring some new disaster, so despite current economic and financial conditions, the industry has been able to function normally. Unlike banks, insurers are not highly leveraged (they generally do not borrow to make investments or to pay claims); they limit the amount of risk they assume to the capital they have on hand; and because they do not sell the risks they assume to another party-they have some 'skin in the game'-they must underwrite carefully or suffer the consequences.","How do insurance companies mitigate financial risks, and why is this approach different from that of banks?","Insurance companies manage risk conservatively, limiting risk to available capital and maintaining a stake in the outcome, unlike highly leveraged banks.",Insurance_Handbook_20103
28,"Some insurers offer homeowners insurance policies that, in the event of a fire or other disaster, allow policyholders to rebuild to environmentally responsible 'green' standards, even if they had not purchased such a policy originally. Green standards, part of the sustainability movement, include energy conservation benchmarks and the use of renewable construction materials. The Green Building Council introduced its Leadership in Energy and Environmental Design (LEED) certification program in 2001. According to Ceres, buildings account for more than one-third of greenhouse gas emissions and green building practices can reduce energy use and emissions by more than 50 percent.","What percentage of greenhouse gas emissions do buildings account for, and how can green building practices reduce energy use and emissions?",Buildings account for more than one-third of greenhouse gas emissions. Green building practices can reduce energy use and emissions by more than 50 percent.,Insurance_Handbook_20103
29,"Disaster losses along the coast are likely to escalate in the coming years, in part because of huge increases in development. One catastrophe modeling company predicts that catastrophe losses will double every decade or so due to growing residential and commercial density and more expensive buildings. Data from the Census Bureau, collected by USA Today, show that in 2006, 34.9 million people were seriously threatened by Atlantic hurricanes, compared with 10.2 million in 1950. Before the 2005 hurricane season, Hurricane Andrew ranked as the single most costly U.S. natural disaster.",How are coastal development and population increases contributing to escalating disaster losses?,"Increased coastal development and population density lead to higher property values and greater potential losses from natural disasters, causing a doubling of catastrophe losses every decade.",Insurance_Handbook_20103
30,"In the past there was a clear delineation between coastal and urban plans with coastal properties insured under Beach and Windstorm Plans, and urban properties under FAIR Plans. Increasingly, the distinctions are blurring. FAIR Plans are acting as an insurer of last resort for residents who live in shoreline communities in states that do not have a Beach and Windstorm Plan, such as New York State. Beach and Windstorm Plans in some states are being merged with FAIR Plans or joint underwriting associations, as in Florida and Louisiana, or are administering new FAIR Plans, as in Texas. As a result, it is difficult to compare the number of properties insured under any Plan with numbers from earlier years. FAIR Plans have almost doubled in size, pushed up in large part by these mergers and the increase in coastal properties in such states as New York and Massachusetts, but also by more stringent underwriting standards on the part of insurers in the voluntary market.",What factors have contributed to the increase in size and complexity of FAIR Plans in recent years?,"The merging of FAIR Plans with Beach and Windstorm Plans in some states, an increase in coastal properties in states like New York and Massachusetts, and more stringent underwriting standards in the voluntary market have all contributed to the growth of FAIR Plans.",Insurance_Handbook_20103
31,"However, compensation levels are not uniform. In some states benefits are still inadequate, while in others, they are overly generous. Some states were slow in adopting the National Commission's guidelines and have still not embraced the entire package of 19 recommendations published in 1972. Many states exempt employers with only a few workers (fewer than five, four or three, depending on the state) from mandatory coverage laws. A major benefits issue still to be resolved in some states is the imbalance between levels of compensation for various degrees of impairment; permanent partial disabilities tend to be overcompensated and permanent total disability undercompensated.","What inconsistencies exist in workers' compensation across different states, and what are some unresolved issues?","Compensation varies widely; some states offer inadequate benefits, while others are overly generous.  Inconsistencies include slow adoption of 1972 recommendations, exemptions for small employers, and imbalanced compensation for different impairment levels (overcompensation for partial, undercompensation for total permanent disability).",Insurance_Handbook_20103
32,"1861, Alphabetical IndexBrief History = First war-risk insurance policies were issued, written by life insurance companies during the Civil War.. 1866, Alphabetical IndexBrief History = National Board of Fire Underwriters was formed in New York City, marking the beginning of  insurance rate standardization.. , Alphabetical IndexBrief History = Hartford Steam Boiler Inspection and Insurance Company, the first boiler insurance company, was. 1873, Alphabetical IndexBrief History = The Massachusetts Legislature adopted the first standard fire insurance policy.. 1878, Alphabetical IndexBrief History = Fidelity and Casualty Company of New York began providing fidelity and surety bonds.. 1885, Alphabetical IndexBrief History = Liability protection was first offered with the introduction of employers liability policies.. 1890, Alphabetical IndexBrief History = First policies providing benefits for disabilities from specific diseases were offered.. 1894, Alphabetical IndexBrief History = National Board of Fire Underwriters established Underwriters' Laboratories to investigate and test  electrical materials to ensure they meet fire safety standards.. 1898, Alphabetical IndexBrief History = Travelers Insurance Company issued the first automobile insurance policy in the United States.. 1899, Alphabetical IndexBrief History = First pedestrian killed by an automobile, in New York City.. 1910, Alphabetical IndexBrief History = New York passed the first United States workers compensation law. It was later found to be  unconstitutional.. 1911, Alphabetical IndexBrief History = Wisconsin enacted the first permanent workers compensation law in the United States.. 1912, Alphabetical IndexBrief History = Lloyd's of London introduced aviation insurance coverage.. 1925, Alphabetical IndexBrief History = Massachusetts passed the first compulsory automobile insurance legislation.. , Alphabetical IndexBrief History = Connecticut passed the first financial responsibility law for motorists.. 1938, Alphabetical IndexBrief History = Federal Crop Insurance Act created the first federal crop insurance program.. 1945, Alphabetical IndexBrief History = McCarran-Ferguson Act (Public Law 15) was enacted. It provided the insurance industry with a  limited exemption to federal antitrust law, assuring the pre-eminence of state regulation of the  industry.. 1947, Alphabetical IndexBrief History = New York established the Motor Vehicle Liability Security Fund to cover auto insurance company  insolvencies. This organization was a precursor of the state guaranty funds established by insurers  in all states to absorb the claims of insolvent insurers.. 1950, Alphabetical IndexBrief History = First package insurance policies for homeowners coverage were introduced.. 1960, Alphabetical IndexBrief History = Boston Plan was established to address insurance availability problems in urban areas in Boston.. 1968, Alphabetical IndexBrief History = First state-run Fair Access to Insurance Requirements (FAIR) Plans were set up to ensure property  insurance availability in high-risk areas.   The federal flood insurance program was established with the passage of the National Flood. 1971, Alphabetical IndexBrief History = Massachusetts became the first state to establish a true no-fault automobile insurance plan.. , Alphabetical IndexBrief History = groups and other nontraditional insurance mechanisms.. 1981, Alphabetical IndexBrief History = Federal Risk Retention Act of 1981 was enacted. The law fostered the growth of risk retention. 1985, Alphabetical IndexBrief History = Mission Insurance Group failed. The insolvency incurred the largest payout by state guaranty  funds for a single property/casualty insurance company failure at that time. This and other  insolvencies in the 1980s led to stricter state regulation of insurer solvency.",What significant events shaped the insurance industry between 1861 and 1985?,"Key events include the first war-risk insurance (1861), formation of the National Board of Fire Underwriters (1866), introduction of boiler insurance (1873), first automobile insurance policy (1898), workers' compensation laws (1910-1911), compulsory auto insurance (1925), the Federal Crop Insurance Act (1938), the McCarran-Ferguson Act (1945), and the impact of insurer insolvencies (1985).",Insurance_Handbook_20103
33,"Only commercial insurers and causes of losses specified in the underlying policies are covered. In addition to commercial lines insurers, insurers eligible for coverage include residual market entities such as workers compensation pools, state-licensed captive insurers and risk retention groups, see report on captives. Personal lines insurance companies-those that sell auto and home insurance-and reinsurers are not covered. Neither are group life insurance losses. Most types of commercial insurance losses were covered under the original legislation, except some specialty coverages such as medical malpractice and crop insurance. Some commercial insurance coverages were deleted under the 2005 extension including commercial auto insurance, professional liability except for directors and officers liability, surety, burglary and theft and farmowners multiperil, a coverage similar to homeowners.","What types of insurers and losses are covered under the program, and which are excluded?","Covered insurers include commercial insurers, workers' compensation pools, state-licensed captive insurers, and risk retention groups.  Excluded are personal lines insurers, reinsurers, group life insurers, and some commercial coverages like medical malpractice, crop insurance, commercial auto, and most professional liability.",Insurance_Handbook_20103
34,"Property insurance compensates a business if the property used in the business is lost or damaged as the result of various types of common perils, such as fire or theft. Property insurance covers not just a building or structure but also the contents, including office furnishings, inventory, raw materials, machinery, computers and other items vital to a business's operations. Depending on the type of policy, property insurance may include coverage for equipment breakdown, removal of debris after a fire or other destructive event, some types of water damage and other losses.","What perils are typically covered by property insurance, and what aspects of a business are included in this coverage?","Common perils covered include fire and theft. Coverage extends to buildings, contents (furnishings, inventory, machinery, computers), and may include equipment breakdown, debris removal, and some water damage.",Insurance_Handbook_20103
35,A type of life insurance or annuity contract that is purchased by the payment of one lump sum. (1) A single-premium deferred annuity (SPDA) is an annuity contract purchased with a single premium payment whose periodic income payments generally do not begin until several years in the future. (2) A single premium immediate annuity (SPIA) contract is an annuity contract that is purchased with a single premium payment and that will begin making periodic income payments one annuity period after the contract's issue date.,What are the key differences between a single-premium deferred annuity (SPDA) and a single-premium immediate annuity (SPIA)?,"A SPDA's income payments are deferred, beginning several years after purchase, while a SPIA's payments start one period after purchase.  Both are purchased with a single lump sum.",Insurance_Handbook_20103
